Frame,Visibility,X,Y
0,1,1202,407
1,1,1212,389
2,1,1215,376
3,1,1218,368
4,1,1217,362
5,1,1218,359
6,1,1219,357
7,1,1219,357
8,1,1219,355
9,1,1221,354
10,1,1220,355
11,1,1218,356
12,1,1218,358
13,1,1217,361
14,1,1216,365
15,1,1219,357
16,1,1219,357
17,1,1219,357
18,1,1219,357
19,1,1219,357
20,1,1219,357
21,1,1219,357
22,1,1219,357
23,1,1219,357
24,1,1219,357
25,1,1219,357
26,1,1219,357
27,1,1219,357
28,1,1219,357
29,1,1219,357
30,1,1219,357
31,1,1219,357
32,1,1219,357
33,1,1219,357
34,1,1219,357
35,1,1219,357
36,1,1219,357
37,1,1219,357
38,1,1219,357
39,1,1219,357
40,1,1219,357
41,1,1219,357
42,1,1219,357
43,1,1219,357
44,1,1219,357
45,1,1219,357
46,1,1219,357
47,1,1219,357
48,1,1219,357
49,1,1219,357
50,1,1219,357
51,1,1219,357
52,1,1219,357
53,1,1219,357
54,1,1219,357
55,1,1219,357
56,1,1219,357
57,1,1219,357
58,1,1219,357
59,1,1219,357
60,1,1219,357
61,1,1219,357
62,1,1219,357
63,1,1219,357
64,1,1219,357
65,1,1219,357
66,1,1219,357
67,1,1219,357
68,1,1219,357
69,1,1219,357
70,1,1219,357
71,1,1219,357
72,1,1219,357
73,1,1219,357
74,1,1219,357
75,1,1219,357
76,1,1219,357
77,1,1219,357
78,1,1219,357
79,1,1219,357
80,1,1219,357
81,1,1219,357
82,1,1219,357
83,1,1219,357
84,1,1219,357
85,1,1210,442
86,1,1205,475
87,1,1196,525
88,1,1175,583
89,1,1165,609
90,1,1154,637
91,1,1140,657
92,1,1137,670
93,1,1126,678
94,1,1124,685
95,1,1124,685
96,1,1124,695
97,1,1122,696
98,1,1124,698
99,1,1137,687
100,1,1155,654
101,1,1174,623
102,1,1196,563
103,1,1208,499
104,1,1229,452
105,1,1206,402
106,1,1219,357
107,1,1219,357
108,1,1219,357
109,1,1185,379
110,1,1112,381
111,1,1040,408
112,1,988,458
113,1,949,477
114,1,944,479
115,1,928,480
116,1,910,479
117,1,889,477
118,1,874,475
119,1,874,475
120,1,819,469
121,1,769,475
122,1,714,480
123,1,664,489
124,1,664,489
125,1,664,489
126,1,609,499
127,1,553,520
128,1,553,520
129,1,504,540
130,1,448,560
131,1,399,589
132,1,399,589
133,1,349,620
134,1,308,625
135,1,279,610
136,1,254,599
137,1,249,599
138,1,249,595
139,1,223,589
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0
145,0,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,0,0,0
151,0,0,0
152,0,0,0
153,0,0,0
154,0,0,0
155,0,0,0
156,0,0,0
157,0,0,0
158,0,0,0
159,0,0,0
160,0,0,0
161,0,0,0
162,0,0,0
163,0,0,0
164,0,0,0
165,0,0,0
166,0,0,0
167,0,0,0
168,0,0,0
169,0,0,0
170,0,0,0
171,0,0,0
172,0,0,0
173,0,0,0
174,0,0,0
175,0,0,0
176,0,0,0
177,0,0,0
178,0,0,0
179,0,0,0
180,0,0,0
181,0,0,0
182,0,0,0
183,0,0,0
184,0,0,0
185,0,0,0
186,0,0,0
187,0,0,0
188,0,0,0
189,0,0,0
190,0,0,0
191,0,0,0
192,0,0,0
193,0,0,0
194,0,0,0
195,0,0,0
